index,date,number
1,January 01,6
2,January 04,1
3,January 22,1
4,January 31,1
5,February 04,1
6,February 07,1
7,February 12,1
8,February 13,1
9,February 15,1
10,February 16,1
11,February 17,1
12,February 18,1
13,February 22,1
14,February 24,1
15,February 25,1
16,February 27,2
17,March 01,1
18,March 06,1
19,March 11,1
20,March 12,1
21,March 20,1
22,March 21,1
23,March 25,1
24,March 26,1
25,April 04,1
26,April 05,1
27,April 09,1
28,April 17,1
29,April 18,1
30,April 24,1
31,April 27,2
32,May 14,1
33,May 15,1
34,May 17,1
35,May 20,2
36,May 21,1
37,May 24,2
38,May 25,1
39,May 26,2
40,May 28,2
41,May 30,1
42,June 04,1
43,June 06,1
44,June 07,1
45,June 12,2
46,June 17,1
47,June 25,1
48,June 26,1
49,June 27,1
50,June 29,1
51,June 30,1
52,July 01,4
53,July 03,1
54,July 04,1
55,July 05,3
56,July 06,2
57,July 07,1
58,July 09,2
59,July 10,1
60,July 12,2
61,July 17,1
62,July 20,1
63,July 21,1
64,July 26,2
65,July 28,1
66,July 30,1
67,August 01,2
68,August 03,1
69,August 05,1
70,August 06,2
71,August 07,1
72,August 09,1
73,August 10,1
74,August 11,1
75,August 13,1
76,August 14,1
77,August 15,4
78,August 17,2
79,August 19,1
80,August 20,2
81,August 24,1
82,August 25,1
83,August 27,1
84,August 31,3
85,September 01,1
86,September 02,1
87,September 05,1
88,September 06,1
89,September 07,1
90,September 08,1
91,September 09,1
92,September 15,5
93,September 16,2
94,September 19,1
95,September 21,3
96,September 22,2
97,September 24,1
98,September 30,1
99,October 01,3
100,October 02,1
101,October 03,1
102,October 04,1
103,October 08,1
104,October 09,1
105,October 10,1
106,October 12,1
107,October 15,1
108,October 18,1
109,October 22,1
110,October 24,1
111,October 26,1
112,October 27,2
113,October 28,1
114,October 29,1
115,November 01,1
116,November 03,2
117,November 09,1
118,November 11,3
119,November 18,2
120,November 22,1
121,November 25,1
122,November 28,3
123,November 30,2
124,December 01,1
125,December 02,1
126,December 06,1
127,December 09,1
128,December 11,1
129,December 12,1
130,December 16,2
131,December 18,1
132,December 24,1
133,December 26,1
134,December 29,1
